"AS OF DATE","PROCESSED DATE","SOURCE NAME 1","SOURCE NAME 2","FUND","MODEL","TYPE","DESCRIPTION","CATEGORY","SHARES","PRICE","TOTAL"
"2022-12-14","2022-12-14","ROLLOVER","","JGSMX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0010000000","18.240000","-0.020"
"2022-12-21","2022-12-21","ROLLOVER","","JGSMX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0180000000","18.240000","0.330"
"2022-02-14","2022-02-14","ROLLOVER","","VMVAX","","PURCHASE OF SHARES","ROLLOVER CONTRIBUTION","CONTRIBUTION","1.2020000000","76.210000","91.580"
"2025-01-09","2025-01-09","ROLLOVER","","VMVAX","5019","SALE OF SHARES","ASSET ALLOCATION","TRANSFERS","-0.0040000000","83.950000","-0.330"
"2022-02-14","2022-02-14","ROLLOVER","","JGSMX","","PURCHASE OF SHARES","ROLLOVER CONTRIBUTION","CONTRIBUTION","4.9770000000","22.080000","109.890"
"2022-03-15","2022-03-15","ROLLOVER","","JGSMX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0020000000","19.920000","-0.030"
"2022-05-13","2022-05-13","ROLLOVER","","JGSMX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0010000000","17.320000","-0.020"
"2022-06-14","2022-06-14","ROLLOVER","","JGSMX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0010000000","16.890000","-0.020"
"2023-05-30","2023-05-30","ROLLOVER","","VMVAX","","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.9860000000","67.030000","-66.090"
"2023-03-24","2023-03-24","ROLLOVER","","VMVAX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0070000000","66.150000","0.440"
"2022-12-28","2022-12-28","ROLLOVER","","VMVAX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0100000000","70.260000","0.700"
"2022-09-26","2022-09-26","ROLLOVER","","VMVAX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0070000000","66.310000","0.440"
"2022-06-24","2022-06-24","ROLLOVER","","VMVAX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0060000000","66.150000","0.370"
"2022-03-24","2022-03-24","ROLLOVER","","VMVAX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0060000000","76.900000","0.430"
"2023-07-10","2023-07-10","ROLLOVER","","VMVAX","5019","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.0090000000","71.700000","0.690"
"2023-07-10","2023-07-10","ROLLOVER","","VMVAX","5019","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.0090000000","71.700000","0.680"
"2023-07-10","2023-07-10","ROLLOVER","","VMVAX","5019","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.0030000000","71.700000","0.250"
"2023-07-10","2023-07-10","ROLLOVER","","VMVAX","5019","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.0070000000","71.700000","0.500"
"2023-07-10","2023-07-10","ROLLOVER","","VMVAX","","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.2530000000","71.700000","-18.150"
"2023-06-26","2023-06-26","ROLLOVER","","VMVAX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0010000000","69.790000","0.100"
"2023-07-10","2023-07-10","ROLLOVER","","VMVAX","5019","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.0010000000","71.700000","0.080"
"2023-07-10","2023-07-10","ROLLOVER","","VMVAX","5019","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.0300000000","71.700000","2.170"
"2023-07-10","2023-07-10","ROLLOVER","","VMVAX","5019","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.0030000000","71.700000","0.170"
"2023-07-10","2023-07-10","ROLLOVER","","VMVAX","5019","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.0010000000","71.700000","0.080"
"2023-07-10","2023-07-10","ROLLOVER","","VMVAX","5019","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.0060000000","71.700000","0.420"
"2023-07-10","2023-07-10","ROLLOVER","","VMVAX","5019","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.0020000000","71.700000","0.170"
"2024-07-02","2024-07-02","ROLLOVER","","BRHYX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","7.030000","0.010"
"2025-02-04","2025-02-04","ROLLOVER","","BRHYX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","7.160000","0.010"
"2025-01-09","2025-01-09","ROLLOVER","","BRHYX","5021","SALE OF SHARES","ASSET ALLOCATION","TRANSFERS","-0.0110000000","7.110000","-0.080"
"2024-07-12","2024-07-12","ROLLOVER","","VMVAX","5019","PURCHASE OF SHARES","ASSET ALLOCATION","TRANSFERS","0.0050000000","79.530000","0.370"
"2024-01-12","2024-01-12","ROLLOVER","","VMVAX","5019","PURCHASE OF SHARES","ASSET ALLOCATION","TRANSFERS","0.0020000000","74.450000","0.180"
"2024-01-12","2024-01-12","ROLLOVER","","VMVAX","5019","PURCHASE OF SHARES","ASSET ALLOCATION","TRANSFERS","0.0020000000","74.450000","0.120"
"2024-09-04","2024-09-04","ROLLOVER","","BRHYX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","7.190000","0.010"
"2024-08-02","2024-08-02","ROLLOVER","","BRHYX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","7.120000","0.010"
"2024-07-12","2024-07-12","ROLLOVER","","BRHYX","5021","SALE OF SHARES","ASSET ALLOCATION","TRANSFERS","-0.0200000000","7.080000","-0.140"
"2024-07-12","2024-07-12","ROLLOVER","","BRHYX","5021","SALE OF SHARES","ASSET ALLOCATION","TRANSFERS","-0.0170000000","7.080000","-0.120"
"2024-05-02","2024-05-02","ROLLOVER","","BRHYX","5021","PURCHASE OF SHARES","INCOME RECEIVED","GAIN/LOSS","0.0020000000","6.969990","0.010"
"2024-06-04","2024-06-04","ROLLOVER","","BRHYX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","7.010000","0.020"
"2024-04-02","2024-04-02","ROLLOVER","","BRHYX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","7.070000","0.020"
"2025-01-03","2025-01-03","ROLLOVER","","BRHYX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","7.100000","0.010"
"2024-12-20","2024-12-20","ROLLOVER","","BRHYX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0010000000","7.130000","0.010"
"2024-12-03","2024-12-03","ROLLOVER","","BRHYX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","7.200000","0.010"
"2024-11-04","2024-11-04","ROLLOVER","","BRHYX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","7.150000","0.010"
"2024-10-02","2024-10-02","ROLLOVER","","BRHYX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","7.240000","0.010"
"2023-10-03","2023-10-03","ROLLOVER","","BRHYX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","6.710000","0.010"
"2023-11-02","2023-11-02","ROLLOVER","","BRHYX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","6.590000","0.010"
"2023-12-04","2023-12-04","ROLLOVER","","BRHYX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","6.840000","0.010"
"2024-01-03","2024-01-03","ROLLOVER","","BRHYX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","7.040000","0.010"
"2024-02-02","2024-02-02","ROLLOVER","","BRHYX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","7.020000","0.010"
"2024-03-04","2024-03-04","ROLLOVER","","BRHYX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","7.010000","0.010"
"2023-07-10","2023-07-10","ROLLOVER","","BRHYX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0120000000","6.740000","-0.080"
"2023-07-10","2023-07-10","ROLLOVER","","BRHYX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0190000000","6.740000","-0.130"
"2023-07-10","2023-07-10","ROLLOVER","","BRHYX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0190000000","6.740000","-0.130"
"2023-07-10","2023-07-10","ROLLOVER","","BRHYX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0120000000","6.740000","-0.080"
"2023-08-02","2023-08-02","ROLLOVER","","BRHYX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","6.840000","0.010"
"2023-09-05","2023-09-05","ROLLOVER","","BRHYX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","6.820000","0.010"
"2023-07-10","2023-07-10","ROLLOVER","","BRHYX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0400000000","6.740000","-0.270"
"2023-07-10","2023-07-10","ROLLOVER","","BRHYX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0220000000","6.740000","-0.150"
"2023-07-10","2023-07-10","ROLLOVER","","BRHYX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0450000000","6.740000","-0.300"
"2023-07-10","2023-07-10","ROLLOVER","","BRHYX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0620000000","6.740000","-0.420"
"2023-07-10","2023-07-10","ROLLOVER","","BRHYX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0190000000","6.740000","-0.130"
"2023-07-10","2023-07-10","ROLLOVER","","BRHYX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0190000000","6.740000","-0.130"
"2025-01-09","2025-01-09","ROLLOVER","","JCBUX","5021","PURCHASE OF SHARES","ASSET ALLOCATION","TRANSFERS","0.0020000000","10.080000","0.020"
"2025-02-03","2025-02-03","ROLLOVER","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","10.140000","0.020"
"2023-06-02","2023-06-02","ROLLOVER","","BRHYX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0040000000","6.710000","0.030"
"2023-05-30","2023-05-30","ROLLOVER","","BRHYX","5021","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.6340000000","6.700000","4.240"
"2023-07-05","2023-07-05","ROLLOVER","","BRHYX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0040000000","6.790000","0.030"
"2023-07-10","2023-07-10","ROLLOVER","","BRHYX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0450000000","6.740000","-0.300"
"2023-07-10","2023-07-10","ROLLOVER","","JCBUX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0860000000","10.060000","-0.870"
"2023-07-10","2023-07-10","ROLLOVER","","JCBUX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0250000000","10.060000","-0.250"
"2023-07-03","2023-07-03","ROLLOVER","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0040000000","10.250000","0.040"
"2023-05-30","2023-05-30","ROLLOVER","","JCBUX","5021","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","1.2540000000","10.170000","12.760"
"2023-06-01","2023-06-01","ROLLOVER","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0040000000","10.170000","0.040"
"2025-01-09","2025-01-09","ROLLOVER","","JCBUX","5021","PURCHASE OF SHARES","ASSET ALLOCATION","TRANSFERS","0.0040000000","10.080000","0.040"
"2023-07-10","2023-07-10","ROLLOVER","","JCBUX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0370000000","10.060000","-0.370"
"2023-07-10","2023-07-10","ROLLOVER","","JCBUX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0800000000","10.060000","-0.810"
"2023-07-10","2023-07-10","ROLLOVER","","JCBUX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0370000000","10.060000","-0.370"
"2023-07-10","2023-07-10","ROLLOVER","","JCBUX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0250000000","10.060000","-0.250"
"2023-07-10","2023-07-10","ROLLOVER","","JCBUX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.1240000000","10.060000","-1.250"
"2023-07-10","2023-07-10","ROLLOVER","","JCBUX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0870000000","10.060000","-0.880"
"2023-10-02","2023-10-02","ROLLOVER","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","9.770000","0.020"
"2023-09-01","2023-09-01","ROLLOVER","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","10.050000","0.020"
"2023-08-01","2023-08-01","ROLLOVER","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","10.110000","0.020"
"2023-07-10","2023-07-10","ROLLOVER","","JCBUX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0440000000","10.060000","-0.440"
"2023-07-10","2023-07-10","ROLLOVER","","JCBUX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0370000000","10.060000","-0.370"
"2023-07-10","2023-07-10","ROLLOVER","","JCBUX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0370000000","10.060000","-0.370"
"2024-03-29","2024-03-29","ROLLOVER","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","10.170000","0.020"
"2024-03-01","2024-03-01","ROLLOVER","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","10.090000","0.020"
"2024-02-01","2024-02-01","ROLLOVER","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","10.230000","0.020"
"2024-01-02","2024-01-02","ROLLOVER","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","10.350000","0.020"
"2023-12-01","2023-12-01","ROLLOVER","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","9.970000","0.020"
"2023-11-01","2023-11-01","ROLLOVER","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","9.640000","0.020"
"2024-08-01","2024-08-01","ROLLOVER","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","10.250000","0.020"
"2024-09-03","2024-09-03","ROLLOVER","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","10.470000","0.020"
"2024-10-01","2024-10-01","ROLLOVER","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","10.540000","0.020"
"2024-11-01","2024-11-01","ROLLOVER","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","10.250000","0.020"
"2024-12-02","2024-12-02","ROLLOVER","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","10.250000","0.020"
"2025-01-02","2025-01-02","ROLLOVER","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","10.090000","0.020"
"2024-04-12","2024-04-12","ROLLOVER","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0010000000","48.300000","-0.050"
"2024-06-13","2024-06-13","ROLLOVER","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0010000000","49.840000","-0.050"
"2024-07-01","2024-07-01","ROLLOVER","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","10.130000","0.020"
"2024-06-03","2024-06-03","ROLLOVER","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","9.970000","0.020"
"2024-05-01","2024-05-01","ROLLOVER","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0030000000","9.920000","0.020"
"2024-07-12","2024-07-12","ROLLOVER","","JCBUX","5021","SALE OF SHARES","ASSET ALLOCATION","TRANSFERS","-0.0120000000","10.240000","-0.120"
"2023-11-08","2023-11-08","ROLLOVER","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0010000000","42.570000","-0.050"
"2023-12-11","2023-12-11","ROLLOVER","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0010000000","44.790000","-0.060"
"2023-12-29","2023-12-29","ROLLOVER","","VTTSX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0860000000","45.770000","3.940"
"2025-01-02","2025-01-02","ROLLOVER","","VTTSX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0020000000","51.380000","0.110"
"2025-01-02","2025-01-02","ROLLOVER","","VTTSX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0880000000","51.380000","4.500"
"2024-08-13","2024-08-13","ROLLOVER","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0010000000","49.390000","-0.050"
"2022-02-14","2022-02-14","ROLLOVER","","VTTSX","","PURCHASE OF SHARES","ROLLOVER CONTRIBUTION","CONTRIBUTION","0.2020000000","45.400000","9.150"
"2023-01-04","2023-01-04","ROLLOVER","","VTTSX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0040000000","38.410000","0.160"
"2023-07-14","2023-07-14","ROLLOVER","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0010000000","44.540000","-0.050"
"2023-08-09","2023-08-09","ROLLOVER","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0010000000","44.030000","-0.060"
"2023-09-11","2023-09-11","ROLLOVER","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0010000000","43.360000","-0.060"
"2023-10-18","2023-10-18","ROLLOVER","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0010000000","42.450000","-0.050"
"2023-05-30","2023-05-30","ROLLOVER","","VTTSX","","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.9020000000","41.830000","37.720"
"2023-07-10","2023-07-10","ROLLOVER","","VTTSX","","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.2010000000","43.100000","8.660"
"2023-07-10","2023-07-10","ROLLOVER","","VTTSX","","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.0410000000","43.100000","1.740"
"2023-07-10","2023-07-10","ROLLOVER","","VTTSX","","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.2050000000","43.100000","8.810"
"2023-07-10","2023-07-10","ROLLOVER","","VTTSX","","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.3530000000","43.100000","15.220"
"2023-07-10","2023-07-10","ROLLOVER","","VTTSX","","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.5890000000","43.100000","25.390"
"2023-05-30","2023-05-30","ROLLOVER","","BIMIX","5021","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","2.5200000000","10.120000","25.500"
"2023-05-31","2023-05-31","ROLLOVER","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0070000000","10.130000","0.070"
"2025-01-09","2025-01-09","ROLLOVER","","BIMIX","5021","SALE OF SHARES","ASSET ALLOCATION","TRANSFERS","-0.0040000000","10.260000","-0.040"
"2025-01-31","2025-01-31","ROLLOVER","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0040000000","10.300000","0.040"
"2023-05-30","2023-05-30","ROLLOVER","","VTTSX","","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.0840000000","41.830000","3.500"
"2023-05-30","2023-05-30","ROLLOVER","","VTTSX","","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","1.4500000000","41.830000","60.660"
"2023-07-10","2023-07-10","ROLLOVER","","BIMIX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0750000000","10.040000","-0.750"
"2023-07-10","2023-07-10","ROLLOVER","","BIMIX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.1730000000","10.040000","-1.740"
"2023-07-10","2023-07-10","ROLLOVER","","BIMIX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0500000000","10.040000","-0.500"
"2023-07-10","2023-07-10","ROLLOVER","","BIMIX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0750000000","10.040000","-0.750"
"2023-07-10","2023-07-10","ROLLOVER","","BIMIX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0750000000","10.040000","-0.750"
"2023-06-29","2023-06-29","ROLLOVER","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0070000000","10.150000","0.070"
"2023-07-10","2023-07-10","ROLLOVER","","BIMIX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.1730000000","10.040000","-1.740"
"2023-07-10","2023-07-10","ROLLOVER","","BIMIX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0750000000","10.040000","-0.750"
"2023-07-10","2023-07-10","ROLLOVER","","BIMIX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0870000000","10.040000","-0.870"
"2023-07-10","2023-07-10","ROLLOVER","","BIMIX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.0500000000","10.040000","-0.500"
"2023-07-10","2023-07-10","ROLLOVER","","BIMIX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.2480000000","10.040000","-2.490"
"2023-07-10","2023-07-10","ROLLOVER","","BIMIX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.1620000000","10.040000","-1.620"
"2023-09-28","2023-09-28","ROLLOVER","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0030000000","9.960000","0.030"
"2023-09-11","2023-09-11","ROLLOVER","","BIMIX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0150000000","10.040000","-0.150"
"2023-08-29","2023-08-29","ROLLOVER","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0030000000","10.020000","0.030"
"2023-08-09","2023-08-09","ROLLOVER","","BIMIX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0150000000","10.130000","-0.150"
"2023-07-14","2023-07-14","ROLLOVER","","BIMIX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0150000000","10.190000","-0.150"
"2023-07-28","2023-07-28","ROLLOVER","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0040000000","10.100000","0.040"
"2024-01-03","2024-01-03","ROLLOVER","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0040000000","10.310000","0.050"
"2023-12-11","2023-12-11","ROLLOVER","","BIMIX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0150000000","10.160000","-0.150"
"2023-11-30","2023-11-30","ROLLOVER","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0040000000","10.070000","0.040"
"2023-11-08","2023-11-08","ROLLOVER","","BIMIX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0140000000","10.000000","-0.140"
"2023-10-27","2023-10-27","ROLLOVER","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0040000000","9.880000","0.040"
"2023-10-18","2023-10-18","ROLLOVER","","BIMIX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0140000000","9.890000","-0.140"
"2025-01-03","2025-01-03","ROLLOVER","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0050000000","10.250000","0.050"
"2024-03-29","2024-03-29","ROLLOVER","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0040000000","10.230000","0.040"
"2024-02-29","2024-02-29","ROLLOVER","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0030000000","10.190000","0.040"
"2024-02-12","2024-02-12","ROLLOVER","","BIMIX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0150000000","10.250000","-0.150"
"2024-01-31","2024-01-31","ROLLOVER","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0030000000","10.260000","0.030"
"2024-01-12","2024-01-12","ROLLOVER","","BIMIX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0150000000","10.310000","-0.150"
"2024-07-12","2024-07-12","ROLLOVER","","BIMIX","5021","PURCHASE OF SHARES","ASSET ALLOCATION","TRANSFERS","0.0120000000","10.320000","0.120"
"2024-07-30","2024-07-30","ROLLOVER","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0040000000","10.290000","0.040"
"2024-08-29","2024-08-29","ROLLOVER","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0040000000","10.480000","0.040"
"2024-09-27","2024-09-27","ROLLOVER","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0040000000","10.570000","0.050"
